,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
205,Gilgit-Baltistan,Pakistan,2021-01-31 05:22:42,35.792146,74.982138,4908.0,102.0
206,Islamabad,Pakistan,2021-01-31 05:22:42,33.665087,73.121219,41359.0,475.0
207,Khyber Pakhtunkhwa,Pakistan,2021-01-31 05:22:42,34.485332,72.09169,66953.0,1897.0
208,Punjab,Pakistan,2021-01-31 05:22:42,30.811346,72.13913199999998,157353.0,4736.0
209,Sindh,Pakistan,2021-01-31 05:22:42,26.009446,68.77680699999999,246437.0,3992.0
210,Azad Jammu and Kashmir,Pakistan,2021-02-01 05:22:53,34.027401,73.947253,9019.0,262.0
211,Balochistan,Pakistan,2021-02-01 05:22:53,28.328492,65.898403,18823.0,195.0
212,Gilgit-Baltistan,Pakistan,2021-02-01 05:22:53,35.792146,74.982138,4909.0,102.0
213,Islamabad,Pakistan,2021-02-01 05:22:53,33.665087,73.121219,41418.0,475.0
214,Khyber Pakhtunkhwa,Pakistan,2021-02-01 05:22:53,34.485332,72.09169,67214.0,1906.0
215,Punjab,Pakistan,2021-02-01 05:22:53,30.811346,72.13913199999998,157796.0,4747.0
216,Sindh,Pakistan,2021-02-01 05:22:53,26.009446,68.77680699999999,247249.0,3996.0
217,Azad Jammu and Kashmir,Pakistan,2021-02-02 05:22:49,34.027401,73.947253,9050.0,264.0
218,Balochistan,Pakistan,2021-02-02 05:22:49,28.328492,65.898403,18830.0,196.0
219,Gilgit-Baltistan,Pakistan,2021-02-02 05:22:49,35.792146,74.982138,4909.0,102.0
220,Islamabad,Pakistan,2021-02-02 05:22:49,33.665087,73.121219,41493.0,475.0
221,Khyber Pakhtunkhwa,Pakistan,2021-02-02 05:22:49,34.485332,72.09169,67419.0,1912.0
222,Punjab,Pakistan,2021-02-02 05:22:49,30.811346,72.13913199999998,158220.0,4793.0
223,Sindh,Pakistan,2021-02-02 05:22:49,26.009446,68.77680699999999,247727.0,4004.0
224,Azad Jammu and Kashmir,Pakistan,2021-02-03 05:22:52,34.027401,73.947253,9073.0,267.0
225,Balochistan,Pakistan,2021-02-03 05:22:52,28.328492,65.898403,18836.0,196.0
226,Gilgit-Baltistan,Pakistan,2021-02-03 05:22:52,35.792146,74.982138,4910.0,102.0
227,Islamabad,Pakistan,2021-02-03 05:22:52,33.665087,73.121219,41561.0,475.0
228,Khyber Pakhtunkhwa,Pakistan,2021-02-03 05:22:52,34.485332,72.09169,67589.0,1923.0
229,Punjab,Pakistan,2021-02-03 05:22:52,30.811346,72.13913199999998,158793.0,4806.0
230,Sindh,Pakistan,2021-02-03 05:22:52,26.009446,68.77680699999999,248270.0,4033.0
231,Azad Jammu and Kashmir,Pakistan,2021-02-04 05:22:26,34.027401,73.947253,9100.0,269.0
232,Balochistan,Pakistan,2021-02-04 05:22:26,28.328492,65.898403,18840.0,196.0
233,Gilgit-Baltistan,Pakistan,2021-02-04 05:22:26,35.792146,74.982138,4912.0,102.0
234,Islamabad,Pakistan,2021-02-04 05:22:26,33.665087,73.121219,41655.0,478.0
235,Khyber Pakhtunkhwa,Pakistan,2021-02-04 05:22:26,34.485332,72.09169,67803.0,1931.0
236,Punjab,Pakistan,2021-02-04 05:22:26,30.811346,72.13913199999998,159311.0,4821.0
237,Sindh,Pakistan,2021-02-04 05:22:26,26.009446,68.77680699999999,248919.0,4036.0
238,Azad Jammu and Kashmir,Pakistan,2021-02-05 05:22:38,34.027401,73.947253,9144.0,270.0
239,Balochistan,Pakistan,2021-02-05 05:22:38,28.328492,65.898403,18844.0,196.0
240,Gilgit-Baltistan,Pakistan,2021-02-05 05:22:38,35.792146,74.982138,4913.0,102.0
241,Islamabad,Pakistan,2021-02-05 05:22:38,33.665087,73.121219,41734.0,478.0
242,Khyber Pakhtunkhwa,Pakistan,2021-02-05 05:22:38,34.485332,72.09169,68004.0,1941.0
243,Punjab,Pakistan,2021-02-05 05:22:38,30.811346,72.13913199999998,159705.0,4840.0
244,Sindh,Pakistan,2021-02-05 05:22:38,26.009446,68.77680699999999,249498.0,4059.0
245,Azad Jammu and Kashmir,Pakistan,2021-02-06 05:23:55,34.027401,73.947253,9160.0,270.0
246,Balochistan,Pakistan,2021-02-06 05:23:55,28.328492,65.898403,18849.0,196.0
247,Gilgit-Baltistan,Pakistan,2021-02-06 05:23:55,35.792146,74.982138,4915.0,102.0
248,Islamabad,Pakistan,2021-02-06 05:23:55,33.665087,73.121219,41819.0,478.0
249,Khyber Pakhtunkhwa,Pakistan,2021-02-06 05:23:55,34.485332,72.09169,68180.0,1948.0
250,Punjab,Pakistan,2021-02-06 05:23:55,30.811346,72.13913199999998,160162.0,4854.0
251,Sindh,Pakistan,2021-02-06 05:23:55,26.009446,68.77680699999999,250043.0,4066.0
252,Azad Jammu and Kashmir,Pakistan,2021-02-07 05:23:00,34.027401,73.947253,9199.0,272.0
253,Balochistan,Pakistan,2021-02-07 05:23:00,28.328492,65.898403,18859.0,196.0
254,Gilgit-Baltistan,Pakistan,2021-02-07 05:23:00,35.792146,74.982138,4916.0,102.0
255,Islamabad,Pakistan,2021-02-07 05:23:00,33.665087,73.121219,41934.0,478.0
256,Khyber Pakhtunkhwa,Pakistan,2021-02-07 05:23:00,34.485332,72.09169,68338.0,1952.0
257,Punjab,Pakistan,2021-02-07 05:23:00,30.811346,72.13913199999998,160580.0,4880.0
258,Sindh,Pakistan,2021-02-07 05:23:00,26.009446,68.77680699999999,250648.0,4087.0
259,Azad Jammu and Kashmir,Pakistan,2021-02-08 05:22:39,34.027401,73.947253,9219.0,272.0
260,Balochistan,Pakistan,2021-02-08 05:22:39,28.328492,65.898403,18869.0,196.0
261,Gilgit-Baltistan,Pakistan,2021-02-08 05:22:39,35.792146,74.982138,4916.0,102.0
262,Islamabad,Pakistan,2021-02-08 05:22:39,33.665087,73.121219,41994.0,480.0
263,Khyber Pakhtunkhwa,Pakistan,2021-02-08 05:22:39,34.485332,72.09169,68531.0,1957.0
264,Punjab,Pakistan,2021-02-08 05:22:39,30.811346,72.13913199999998,160935.0,4900.0
265,Sindh,Pakistan,2021-02-08 05:22:39,26.009446,68.77680699999999,251047.0,4119.0
266,Azad Jammu and Kashmir,Pakistan,2021-02-09 05:23:30,34.027401,73.947253,9238.0,273.0
267,Balochistan,Pakistan,2021-02-09 05:23:30,28.328492,65.898403,18877.0,196.0
268,Gilgit-Baltistan,Pakistan,2021-02-09 05:23:30,35.792146,74.982138,4918.0,102.0
269,Islamabad,Pakistan,2021-02-09 05:23:30,33.665087,73.121219,42080.0,480.0
270,Khyber Pakhtunkhwa,Pakistan,2021-02-09 05:23:30,34.485332,72.09169,68625.0,1964.0
271,Punjab,Pakistan,2021-02-09 05:23:30,30.811346,72.13913199999998,161347.0,4919.0
272,Sindh,Pakistan,2021-02-09 05:23:30,26.009446,68.77680699999999,251434.0,4132.0
273,Azad Jammu and Kashmir,Pakistan,2021-02-10 05:22:41,34.027401,73.947253,9291.0,273.0
274,Balochistan,Pakistan,2021-02-10 05:22:41,28.328492,65.898403,18891.0,197.0
