,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
186,Khyber Pakhtunkhwa,Pakistan,2021-01-28 05:22:24,34.485332,72.09169,66198.0,1870.0,216.8764387131421,2.824858757062147
187,Punjab,Pakistan,2021-01-28 05:22:24,30.811346,72.13913199999998,155805.0,4661.0,141.62489002834792,2.99155996277398
188,Sindh,Pakistan,2021-01-28 05:22:24,26.009446,68.77680699999999,243683.0,3957.0,508.8809682803037,1.6238309607153556
189,Azad Jammu and Kashmir,Pakistan,2021-01-29 05:22:23,34.027401,73.947253,8953.0,259.0,221.31495642174283,2.8928850664581702
190,Balochistan,Pakistan,2021-01-29 05:22:23,28.328492,65.898403,18798.0,194.0,152.27947747676518,1.0320246834769655
191,Gilgit-Baltistan,Pakistan,2021-01-29 05:22:23,35.792146,74.982138,4909.0,102.0,484.3209837566497,2.07781625585659
192,Islamabad,Pakistan,2021-01-29 05:22:23,33.665087,73.121219,41176.0,476.0,2052.0569408922283,1.156013211579561
193,Khyber Pakhtunkhwa,Pakistan,2021-01-29 05:22:23,34.485332,72.09169,66451.0,1879.0,217.70531177568824,2.827647439466675
194,Punjab,Pakistan,2021-01-29 05:22:23,30.811346,72.13913199999998,156404.0,4681.0,142.16937389681797,2.992890207411575
195,Sindh,Pakistan,2021-01-29 05:22:23,26.009446,68.77680699999999,244340.0,3969.0,510.2529753393112,1.6243758696897763
196,Azad Jammu and Kashmir,Pakistan,2021-01-30 05:22:49,34.027401,73.947253,8972.0,259.0,221.7846296231293,2.8867588051716453
197,Balochistan,Pakistan,2021-01-30 05:22:49,28.328492,65.898403,18809.0,195.0,152.36858665073288,1.0367377319368387
198,Gilgit-Baltistan,Pakistan,2021-01-30 05:22:49,35.792146,74.982138,4908.0,102.0,484.2223239514436,2.078239608801956
199,Islamabad,Pakistan,2021-01-30 05:22:49,33.665087,73.121219,41255.0,475.0,2055.994003703829,1.1513755908374743
200,Khyber Pakhtunkhwa,Pakistan,2021-01-30 05:22:49,34.485332,72.09169,66679.0,1890.0,218.4522803854136,2.8344756220099283
201,Punjab,Pakistan,2021-01-30 05:22:49,30.811346,72.13913199999998,156928.0,4716.0,142.6456836582175,3.005199836867863
202,Sindh,Pakistan,2021-01-30 05:22:49,26.009446,68.77680699999999,245663.0,3986.0,513.0157840745732,1.6225479620455665
203,Azad Jammu and Kashmir,Pakistan,2021-01-31 05:22:42,34.027401,73.947253,8988.0,260.0,222.18014389798105,2.892745883400089
204,Balochistan,Pakistan,2021-01-31 05:22:42,28.328492,65.898403,18815.0,195.0,152.41719165471525,1.0364071219771458
